subject;age;condition;totalCases;correct_answer;mean_answer_correct;mean_response_time;median_response_time;falseAlarm;correct_rejection;miss;hit;noChangeTotal;changeTotal;falseAlarmRate;hitRate;kPashler;k;joinKey
216;old;4;64;47;0,7343750;1443,6562;1264,5; 5;27;12;20;32;32;0,15625000;0,6250000;2,222222;1,8750000;2164
216;old;6;65;41;0,6307692;1665,7692;1393,0;13;19;11;22;32;33;0,40625000;0,6666667;2,631579;1,5625000;2166
216;old;8;66;40;0,6060606;1622,6364;1450,5;16;16;10;24;32;34;0,50000000;0,7058824;3,294118;1,6470588;2168
217;old;2;65;57;0,8769231;1109,7077;1109,0; 1;32; 7;25;33;32;0,03030303;0,7812500;1,548828;1,5018939;2172
217;old;4;64;46;0,7187500;1292,1875;1189,0; 8;24;10;22;32;32;0,25000000;0,6875000;2,333333;1,7500000;2174
217;old;6;64;41;0,6406250;1235,4062;1202,5; 7;25;16;16;32;32;0,21875000;0,5000000;2,160000;1,6875000;2176
217;old;8;67;39;0,5820896;1348,5224;1250,0;13;22;15;17;35;32;0,37142857;0,5312500;2,034091;1,2785714;2178
218;old;2;65;64;0,9846154;1281,7538;1086,0; 1;32; 0;32;33;32;0,03030303;1,0000000;2,000000;1,9393939;2182
218;old;4;64;43;0,6718750;1914,5000;1552,0;18;14; 3;29;32;32;0,56250000;0,9062500;3,142857;1,3750000;2184
218;old;6;65;44;0,6769231;1928,0154;1562,0;20;12; 1;32;32;33;0,62500000;0,9696970;5,515152;2,0681818;2186
218;old;8;66;39;0,5909091;2291,6818;1797,5;24; 9; 3;30;33;33;0,72727273;0,9090909;5,333333;1,4545455;2188
219;old;2;65;64;0,9846154;1063,4154;1027,0; 0;33; 1;31;33;32;0,00000000;0,9687500;1,937500;1,9375000;2192
219;old;4;65;53;0,8153846;1150,5231;1001,0; 5;28; 7;25;33;32;0,15151515;0,7812500;2,968750;2,5189394;2194
219;old;6;64;50;0,7812500;1270,9062;1164,5; 6;26; 8;24;32;32;0,18750000;0,7500000;4,153846;3,3750000;2196
219;old;8;66;45;0,6818182;1316,0000;1230,5; 8;25;13;20;33;33;0,24242424;0,6060606;3,840000;2,9090909;2198
220;old;2;66;64;0,9696970;1315,0758;1108,0; 1;33; 1;31;34;32;0,02941176;0,9687500;1,935606;1,8786765;2202
220;old;4;64;51;0,7968750;1675,2812;1458,5; 6;26; 7;25;32;32;0,18750000;0,7812500;2,923077;2,3750000;2204
220;old;6;65;42;0,6461538;1904,6308;1600,0;14;19; 9;23;33;32;0,42424242;0,7187500;3,069079;1,7670455;2206
220;old;8;65;43;0,6615385;2302,9077;1825,0;15;17; 7;26;32;33;0,46875000;0,7878788;4,805704;2,5530303;2208
